kva_salida,kw_motor,perdidas_ref_kw,cos_phi,verificado
0.278,0.12,0.100,,pendiente
0.381,0.18,0.104,,pendiente
0.500,0.25,0.109,,pendiente
0.697,0.37,0.117,,pendiente
0.977,0.55,0.129,,pendiente
1.29,0.75,0.142,,pendiente
1.71,1.1,0.163,,pendiente
2.29,1.5,0.188,,pendiente
3.30,2.2,0.230,,pendiente
4.44,3,0.278,,pendiente
5.85,4,0.335,,pendiente
7.94,5.5,0.428,,pendiente
9.95,7.5,0.520,,pendiente
14.4,11,0.716,,pendiente
19.5,15,0.934,,pendiente
23.9,18.5,1.13,,pendiente
28.3,22,1.32,,pendiente
38.2,30,1.77,,pendiente
47.0,37,2.16,,pendiente
56.9,45,2.60,,pendiente
68.4,55,3.12,,pendiente
92.8,75,4.20,,pendiente
111,90,5.03,,pendiente
135,110,5.55,,si
162,132,7.32,,pendiente
195,160,8.82,,pendiente
244,200,11.0,,pendiente
302,250,13.7,,pendiente
381,315,17.2,,pendiente
429,355,19.4,,pendiente
483,400,21.8,,pendiente
543,450,24.5,,pendiente
604,500,27.3,,pendiente
677,560,30.6,,pendiente
761,630,34.4,,pendiente
858,710,38.8,,pendiente
966,800,43.6,,pendiente
1088,900,49.1,,pendiente
1209,1000,54.5,,pendiente
